src	trg	weight
My Chemical Romance	Slayer	2.7429506205641534
My Chemical Romance	Pearl Jam	2.7429506205641534
My Chemical Romance	T. Rex (band)	2.7429506205641534
My Chemical Romance	The Used	2.7429506205641534
My Chemical Romance	Simple Plan	2.7429506205641534
My Chemical Romance	Nirvana (band)	2.7429506205641534
My Chemical Romance	Rise Against	2.7429506205641534
Mötley Crüe	New York Dolls	1.7272019910286398
Mötley Crüe	Tom Petty	1.7272019910286398
Mötley Crüe	Ratt	1.7272019910286398
Mötley Crüe	Poison (American band)	1.7272019910286398
Mötley Crüe	Van Halen	1.7272019910286398
Mötley Crüe	Queen (band)	1.7272019910286398
Mötley Crüe	Quiet Riot	1.7272019910286398
Mötley Crüe	Skid Row (American band)	1.7272019910286398
Mötley Crüe	Rob Zombie	1.7272019910286398
Mötley Crüe	Sex Pistols	1.7272019910286398
Mötley Crüe	Ozzy Osbourne	1.7272019910286398
Mötley Crüe	Papa Roach	1.7272019910286398
Mötley Crüe	Theory of a Deadman	1.7272019910286398
Mötley Crüe	Scorpions (band)	1.7272019910286398
Neil Young	Radiohead	6.292825865306383
Neil Young	The Byrds	6.292825865306383
Neil Young	Sonic Youth	6.292825865306383
Neil Young	The Flaming Lips	6.292825865306383
Neil Young	Phil Collins	6.292825865306383
Neil Young	Roy Orbison	6.292825865306383
Neil Young	The Monkees	6.292825865306383
Neil Young	Pixies (band)	6.292825865306383
Neil Young	Pearl Jam	6.292825865306383
Neil Young	The Beach Boys	6.292825865306383
Neil Young	The Pretty Reckless	6.292825865306383
Neil Young	Robert Plant	6.292825865306383
Neil Young	Sam Fender	6.292825865306383
Neil Young	Oasis (band)	6.292825865306383
Neil Young	Soundgarden	6.292825865306383
Neil Young	Paul McCartney	6.292825865306383
Neil Young	Train (band)	6.292825865306383
Neil Young	rock music	6.292825865306383
Neil Young	Stone Temple Pilots	6.292825865306383
Neil Young	The Band	6.292825865306383
Neil Young	The Who	6.292825865306383
Neil Young	Red Hot Chili Peppers	6.292825865306383
Neil Young	Travis (band)	6.292825865306383
Neil Young	No Doubt	6.292825865306383
Neil Young	Social Distortion	6.292825865306383
Neil Young	Nirvana (band)	6.292825865306383
Neil Young	The Everly Brothers	6.292825865306383
Neil Young	Tom Petty and the Heartbreakers	6.292825865306383
Neil Young	Peter Gabriel	6.292825865306383
New York Dolls	Soundgarden	3.077771570675446
New York Dolls	Ratt	3.077771570675446
New York Dolls	The Smiths	3.077771570675446
New York Dolls	Poison (American band)	3.077771570675446
New York Dolls	The Sweet	3.077771570675446
New York Dolls	Talking Heads	3.077771570675446
New York Dolls	Twisted Sister	3.077771570675446
New York Dolls	rock music	3.077771570675446
New York Dolls	Rod Stewart	3.077771570675446
New York Dolls	Skid Row (American band)	3.077771570675446
New York Dolls	Ramones	3.077771570675446
New York Dolls	Rush (band)	3.077771570675446
New York Dolls	R.E.M.	3.077771570675446
New York Dolls	Pixies (band)	3.077771570675446
New York Dolls	Sex Pistols	3.077771570675446
New York Dolls	Pearl Jam	3.077771570675446
New York Dolls	T. Rex (band)	3.077771570675446
New York Dolls	W.A.S.P. (band)	3.077771570675446
New York Dolls	The Jesus and Mary Chain	3.077771570675446
New York Dolls	Social Distortion	3.077771570675446
Nickelback	Puddle of Mudd	4.1932404514782124
Nickelback	Skillet (band)	4.1932404514782124
Nickelback	ZZ Top	4.1932404514782124
Nickelback	rock music	4.1932404514782124
Nickelback	Pantera	4.1932404514782124
Nickelback	Red Hot Chili Peppers	4.1932404514782124
Nickelback	Slayer	4.1932404514782124
Nickelback	Ozzy Osbourne	4.1932404514782124
Nickelback	The Pretty Reckless	4.1932404514782124
Nickelback	Papa Roach	4.1932404514782124
Nickelback	Shinedown	4.1932404514782124
Nickelback	Three Days Grace	4.1932404514782124
Nickelback	Ted Nugent	4.1932404514782124
Nickelback	Theory of a Deadman	4.1932404514782124
Nickelback	Seether	4.1932404514782124
Nickelback	Staind	4.1932404514782124
Nickelback	Saving Abel	4.1932404514782124
Nickelback	Nirvana (band)	4.1932404514782124
Nickelback	Pop Evil	4.1932404514782124
Nickelback	U2	4.1932404514782124
Nine Inch Nails	Queen (band)	4.827617498623098
Nine Inch Nails	The Smashing Pumpkins	4.827617498623098
Nine Inch Nails	Pink Floyd	4.827617498623098
Nine Inch Nails	Paramore	4.827617498623098
Nine Inch Nails	Peter Gabriel	4.827617498623098
Nine Inch Nails	Rob Zombie	4.827617498623098
Nine Inch Nails	Pantera	4.827617498623098
Nine Inch Nails	Rage Against the Machine	4.827617498623098
Nine Inch Nails	Pixies (band)	4.827617498623098
Nine Inch Nails	Pearl Jam	4.827617498623098
Nine Inch Nails	Rammstein	4.827617498623098
Nine Inch Nails	Three Days Grace	4.827617498623098
Nine Inch Nails	Tool (band)	4.827617498623098
Nine Inch Nails	U2	4.827617498623098
Nine Inch Nails	The Cure	4.827617498623098
Nine Inch Nails	Soundgarden	4.827617498623098
Nine Inch Nails	Starset	4.827617498623098
Nine Inch Nails	Talking Heads	4.827617498623098
Nine Inch Nails	rock music	4.827617498623098
Nine Inch Nails	Rush (band)	4.827617498623098
Nine Inch Nails	Slipknot (band)	4.827617498623098
Nine Inch Nails	Queens of the Stone Age	4.827617498623098
Nine Inch Nails	The Jesus and Mary Chain	4.827617498623098
Nine Inch Nails	The Velvet Underground	4.827617498623098
Nine Inch Nails	Seether	4.827617498623098
Nine Inch Nails	Nirvana (band)	4.827617498623098
Nirvana (band)	Radiohead	7.151492985635172
Nirvana (band)	The White Stripes	7.151492985635172
Nirvana (band)	Sonic Youth	7.151492985635172
Nirvana (band)	The Strokes	7.151492985635172
Nirvana (band)	Queen (band)	7.151492985635172
Nirvana (band)	The Smashing Pumpkins	7.151492985635172
Nirvana (band)	Ramones	7.151492985635172
Nirvana (band)	Sublime (band)	7.151492985635172
Nirvana (band)	Pixies (band)	7.151492985635172
Nirvana (band)	Slayer	7.151492985635172
Nirvana (band)	Pearl Jam	7.151492985635172
